Comment,Cleaned_Comment
demen banget saya opening ganti-ganti mulu. btw ngedit sendiri kah bang?,demen opening gantiganti mulu btw ngedit kah
Gila bang timo memasak Intro lagi😂,gila timo memasak intro
"Kocak sih ini orang bukannya ngasih alasan yang logis buat tindakannya malah ngatain konsumen<br><br><a href=""https://www.youtube.com/watch?v=vFUT18yhMB8&amp;t=1051"">17:31</a> Diabolical 💀<br>Parah asli",kocak ngasih alasan logis tindakannya ngatain konsumen1731 diabolical parah asli
Berarti awalnya abidzar emosi karena dirasisin oleh para fans K-Pop sebaiknya kalo dia main film lainnya selain adaptasi dari Korea jangan diboikot tidak semua budaya luar cocok untuk kita dalam budaya masyarakat Indonesia ada yang namanya kesempatan kedua suaminya lesti aja yang melakukan KDRT bisa berkarier lagi awalnya abidzar merasa dirasisin pemain timnas elkan baggot tidak diberi kesempatan kedua oleh sty padahal postur tubuhnya sangat dibutuhkan,emosi dirasisin kpop main adaptasi korea diboikot budaya cocok budaya masyarakat indonesia namanya kesempatan suaminya lesti kdrt berkarier dirasisin pemain timnas elkan baggot kesempatan sty postur tubuhnya dibutuhkan
Berasa Reza Rahardian dia bang,berasa reza rahardian
Ga cocok loo abizar jadi tae . Harusnya Angga atau Varrel Bramasta,cocok loo abizar tae angga varrel bramasta
"Good job bang penjelasan lu on point banget gw setuju, tapi lu liat yaa abidzar ini keras kepala 🗿 gak bakal berubah, dia gak dewasa orang nya, dan gak belajar dari kesalahan yg dia buat, bagi para produser yg mau make jasa dia pikir 1 miliar kali sih kalo mau hire dia.",good job penjelasan on point setuju liat yaa keras kepala berubah dewasa belajar kesalahan produser make jasa pikir 1 miliar kali hire
Petaka gunung gede bg,petaka gunung gede bg
Setidaknya abizar lbih sukses drpd lo 😅😅😅,abizar lbih sukses drpd lo
What...??,what
Paur b&#39;abidzar mah lah,paur babidzar mah
Ratingnya lebih rendah dari IPK fufufafa 😂🫵,ratingnya rendah ipk fufufafa
abizar anak siapa sih?,abizar anak
Movie kalah sama  dot desain,movie kalah dot desain
"<a href=""https://www.youtube.com/watch?v=vFUT18yhMB8&amp;t=1093"">18:13</a> Kaya film Overlord Kemarin, gara gara 2 volume novel di bikin film 2 jam, akhirnya apa? Akhirnya banyak pemotongan, banyak yang di kurangi, banyak bagian yang serba tiba-tiba, dan untuk pembaca novel itu film bener bener kurang😂",1813 kaya overlord kemarin gara gara 2 volume novel 2 jam pemotongan kurangi serba tibatiba pembaca novel bener bener
Anjay vibe openingnya dpt bgt🫡,anjay vibe openingnya dpt
Udh foto anu dia kecil + bikin drama lagi yg kdrama lovers mampos gk ada yg nonton film lu<br><br>Lu klo bukan anak alm. Uje gk bakalan terkenal,foto anu drama kdrama lovers mampos lulu anak alm uje terkenal
"gw sebagai orang yang liat drakor nya jadi benci sama abidzar dia sama sekali ga ada respect&quot;nya sama ph korea, artis nya, tim nya. produksi buspro itu pas masih era covid loh. si sejeong sm ahn hyoseop yang meranin karakter shin hari sm kang taemoo kena covid pas syuting. si sejeong juga pas syuting nenek nya meninggal tapi dia tetep syuting dengan sifat yang ceria padahal lagi berduka. makanya banyak yg nerapin boikot gara&quot; abidzar ngomong begitu",liat drakor benci respectnya ph korea artis tim produksi buspro pas era covid loh sejeong sm ahn hyoseop meranin shin sm kang taemoo kena covid pas syuting sejeong pas syuting nenek meninggal tetep syuting sifat ceria berduka nerapin boikot gara ngomong
"<a href=""https://www.youtube.com/watch?v=vFUT18yhMB8&amp;t=646"">10:46</a> classic 😂",1046 classic
WKWKWKWK😂,wkwkwkwk
"Udah tau &quot;fans fanatik&quot;, tapi malah sengaja bikin karakter di luar ekspektasi fans fanatik.",fanatik sengaja ekspektasi fanatik
"<a href=""https://www.youtube.com/watch?v=vFUT18yhMB8&amp;t=559"">9:19</a> tapi erspo benar2 belajar dari kesalahan tahun ini, mereka merilis jersey terbaik sepanjang masa timnas bang, absolut cinema🙌",919 erspo benar2 belajar kesalahan merilis jersey terbaik timnas absolut cinema
dan Abizar ga pernah belajar dari kesalahan 😂,abizar belajar kesalahan
Bener bang 😅,bener
Akhirnyaa dibahas wkwkw,akhirnyaa dibahas wkwkw
Kasih paham dia bg kali ini gua setuju sama lu,kasih paham bg kali setuju
Best opening so far.. 😂,best opening so far
Akhirnya yang di tunggu² di bahas jugaa😂,tunggu bahas jugaa
"Bang, review Sousou no Frieren",review sousou no frieren
0.1/10,0110
padahal klo dia pura2 suka/ iya2in aja hal yg positif aman si dia wkwkwkwkw<br>tpi emang gk ada PER training kah,pura2 suka iya2in positif aman wkwkwkwkwtpi training kah
"Dia kemakan EGO, padahal dalam pekerjaan apapun pencitraan itu penting😂",kemakan ego pekerjaan apapun pencitraan
"Editing nya on point semua, keren bang😂",editing on point keren
Manusia selagi masih nginjek tanah jangan sombong makanya 😂 (gw bukan kpopers ataupun itu),manusia selagi nginjek tanah sombong kpopers
1/10 woilah cik😂,110 woilah cik
Kalah sama film Aldi taher,kalah aldi taher
"Klo adaptasi, bukannya semakin mirip karakternya, malah makin bagus ya..",adaptasi karakternya bagus
namanya jg manusia bukan anbi boy wkwkwkkwkwkw,namanya jg manusia anbi boy wkwkwkkwkwkw
"Logika aja, kamu mau remake filmnya tapi tdk nonton series sebelumnya. Lu udah gilaa??? 😂😂",logika remake filmnya tdk series gilaa
Film Hollywood banyak juga.. Kayak Charlie&#39;s Angel yg terbaru 😂,hollywood kayak charlies angel terbaru
Anjing kalah sama Birdemic 😂,anjing kalah birdemic
"Aku gak nonton filmnya sih soalnya artis nya gk butuh penonton, kasian falcon salah ambil artis, meskipun filmnya bagus jadi di jauhin penonton, yah ibarat di suguhkan nasi Padang sambil ngomel mending di tinggal ke warkop beli Indomie 😂😂😂",filmnya artis butuh penonton kasian falcon salah ambil artis filmnya bagus jauhin penonton yah suguhkan nasi padang ngomel mending tinggal warkop beli indomie
"Klo dia content creator yg bikin konten sendiri gak pake bantuan banyak pihak dan paham akan impact dri konten sendiri gpp, masalahnya ini film besar dan pasti bnyak pihak terlibat, apalagi remake yg notabene pasti bekerjasama ama pihak dari luar negeri, bijak dikit lah😅",content creator konten pake bantuan paham impact dri konten gpp bnyak terlibat remake notabene bekerjasama ama negeri bijak dikit
Mending rewatch series aslinya 😂,mending rewatch series aslinya
harusnya ini intro terbaik 😂,intro terbaik
"Kalau denger judul film ini, aku cuma kepikiran &quot;Kasihan sama tim produksi filmnya&quot; udah. Ini konflik udah sejak awal2, belum juga org2 pada nonton, mereka udah males duluan. Dan butuh waktuu cukup lama buat dia klarifikasi/minta maaf. Minimal tahan dulu, biar org pada penasaran. Sumpah kasiian deh yg bikin film ini",denger judul kepikiran kasihan tim produksi filmnya konflik awal2 org2 males duluan butuh waktuu klarifikasiminta maaf minimal tahan biar org penasaran sumpah kasiian deh
Tapi Falcon selaku pihak yg bikin film jg rese sih. Bikin surat permohonan maaf yg kesannya maksa. Jadinya kaya ngak tulus.,falcon jg rese surat permohonan maaf kesannya maksa kaya ngak tulus
"Sebenernya kasus kayak Abidzar vs netizen itu umum banget terjadi di dunia film-film remake maupun adaptasi. Namanya fandom, apalagi yang basisnya loyal dan besar udah pasti kemungkinan besar fanatik dan punya ekspektasi tinggi kalau karya-karya yang udah terbukti sukses dan membekas bagi mereka mau dibuat ulang. Gak hanya berlaku buat fandom anime, k-popers, atau k-drama lovers.<br><br>Imo, kasus dia ngingetin gue sama Rachel Zegler vs penggemar berat disney yang gak terima kalau karakter snow white itu diperanin sama Rachel karena gak sesuai dengan deskripsi karakter snow white itu sendiri. Perempuan berkulit seputih salju, makanya disebut putri salju. Apalagi setelah dia bikin banyak pernyataan kayak mau ngubah karakter snow white jadi lebih appealing buat penonton modern makanya kesannya kayak dia gak ngehargain karya klasik Snow White dan songong banget.<br><br>Bahkan hujatan netizen ke Rachel itu lebih parah dibanding yang dialami Abidzar sekarang ini, intinya mah kalo mau remake film atau karya apapun minimal casting lah aktor atau aktris yang seenggaknya bisa ngehargain karya asli dan penggemarnya kalo gak ya fandom manapun pasti mencak-mencak😂",sebenernya kayak vs netizen dunia filmfilm remake adaptasi namanya fandom basisnya loyal fanatik ekspektasi karyakarya terbukti sukses membekas ulang berlaku fandom anime kpopers kdrama loversimo ngingetin rachel zegler vs penggemar berat disney terima snow white diperanin rachel sesuai deskripsi snow white perempuan berkulit seputih salju putri salju pernyataan kayak ngubah snow white appealing penonton modern kesannya kayak ngehargain karya klasik snow white songong bangetbahkan hujatan netizen rachel parah dibanding dialami intinya mah remake karya apapun minimal casting aktris seenggaknya ngehargain karya asli penggemarnya fandom manapun mencakmencak
"Little mermaid yg cuma diem aja dihujat 🥹 jadi ini sebenernya masalah aktor menyikapinya gimana aja sih, krn namanya adaptasi pasti ada ekspektasi dari audience nya, jadi kalo banyak yang kontra mending buktiin aja jangan nantangin 😭",little mermaid diem dihujat sebenernya menyikapinya gimana krn namanya adaptasi ekspektasi audience kontra mending buktiin nantangin
Iya sbnrnya aktor drakor aslinya jg smpet dihujat kok krna scara visual ga mirip sama webtoonnya. Tp buktinya pas udh tayang malah banyak yg suka krna emng dia membuktikan dgn aktingnya​@@hellosyanaasmr,iya sbnrnya drakor aslinya jg smpet dihujat krna scara visual webtoonnya tp buktinya pas tayang suka krna emng membuktikan dgn aktingnyahellosyanaasmr
"Bener, sbnrnya udh biasa pro kontra tntang kecocokan pemain sama novel/webtoonnya.. bhkan adaptasi dr webtoon korea ke drama korea nya aja udh bnyk yg pro kontra klo ngerasa pemerannya ga cocok, ini abijar berasa newbie bgt kali ya",bener sbnrnya pro kontra tntang kecocokan pemain novelwebtoonnya bhkan adaptasi dr webtoon korea drama korea bnyk pro kontra ngerasa pemerannya cocok abijar berasa newbie kali
"Eh tapi iya deh, liat beberapa reaction ke trailer snow white dan komen-komennya banyak yang mengolok-olok. Jadi case abidzar ini emg mirip-mirip tapi versi indonya",eh iya deh liat reaction trailer snow white komenkomennya mengolokolok case emg miripmirip versi indonya
Sampai dibikin lagu loh,dibikin lagu loh
"Harusnya si cendol puji korean drama, pura2 suka aja, puji2 tokohnya juga, mungkin bisa booming 😂😂😂😂",cendol puji korean drama pura2 suka puji2 tokohnya booming
Harusnya... namanya orang jualankan... makelar aja gimana sih mulutnya... mau salah mau benar maniss aja,namanya jualankan makelar gimana mulutnya salah maniss
Intro virus beethoven,intro virus beethoven
"Rating 6/10 berarti filmnya masih worth it buat d tonton, sayangnya gara&quot; kelakuan 1 aktor filmnya jadi di boikot. Sebenernya omongan abizar tentang fans fanatik itu aku masih paham apa maksud dia, sayangnya ya dia ga pinter ngerangkai kalimat. Dan ya yg fatalnya adalah target pasar film ini tuh orang&quot; yg dia sebut &#39;fans fanatik&#39;, kalo bukan &#39;fans fanatik&#39; ini yg nonton siapa lagi? Orang yg ga nonton drakor ato baca webtoon nya pasti sedikit bgt yg tertarik buat nonton",rating 610 filmnya worth it d tonton sayangnya gara kelakuan 1 filmnya boikot sebenernya omongan abizar fanatik paham maksud sayangnya pinter ngerangkai kalimat fatalnya target pasar tuh fanatik fanatik drakor ato baca webtoon tertarik
"Tidak dengan &quot;Boruto&quot; ya 😂.<br>Walaupun Ratingnya 6/10, tetap saja tidak worth it untuk di tonton Itu dari sudut pandangku.",boruto ratingnya 610 worth it tonton sudut pandangku
Kasian di kasih jalan malah pilih cobaan 😂😂😂,kasian kasih jalan pilih cobaan
"diposter cowk yg kiri sapa ya, kok ke ketuker sama yg tengah",diposter cowk kiri sapa ketuker
"Fun fact, salah satu OST Drakor A Business Proposal adalah idol asal Indonesia yaitu Dita Karang dan groupnya. Sangat disayangkan sebenarnya. Kalau kasus ini sampai kedengar ke Korsel takutnya indistri film lokal jd punya citra buruk.",fun fact salah ost drakor a business proposal idol indonesia dita karang groupnya disayangkan kedengar korsel takutnya indistri lokal jd citra buruk
"Biarin aja , aktornya gtuuu , belum lagi netizen fanatik . Yowesslahh... Sampeee ke negara lain , biar perfliman indoo hancurrr , gara2 abdizar dan satu kubu kaum fanatik",biarin aktornya gtu netizen fanatik yowesslahh sampe negara biar perfliman indoo hancur gara2 abdizar kubu kaum fanatik
Bukannya penyanyinya melo mance ya? Lagu love maybe.,penyanyinya melo mance lagu love maybe
@ciao3981  ada 2 versi. Satu melodance. Satu lagi Dita dkk.,ciao3981 2 versi melodance dita dkk
"Dengan PDnya dia ngomong &quot;Gausa di tonton masih banyak yang mau nonton&quot; 🤣🤣. Kocak, brarti dia ngerasa fans dia itu bnyak banget ya, sampai muncul kalimat itu.. Walaupun lu pada ngehujat gua, fans gua tetap akan nonton film gua kok..<br><br>Ya bener mungkin yg ngefans sama dia tetap bakal nonton, tapi ya itulah hasilnya jumlah penontonnya segitu jadinya🤣🤣",pdnya ngomong gausa tonton kocak brarti ngerasa bnyak muncul kalimat ngehujat kokya bener ngefans hasilnya penontonnya segitu
@dimas7636😂Loh kan fans ummi ppk banyak bwang😅,dimas7636loh ummi ppk bwang
Iya sampe bagi2 tiket gratis,iya sampe bagi2 tiket gratis
kpop bau bawang,kpop bau bawang
Anjir Umi PPK 😂,anjir umi ppk
Tapi andaikan aku sebagai fans aktris tersebut dan liat arogan idola ku tetep mikir 2 kali,andaikan aktris liat arogan idola ku tetep mikir 2 kali
Karma is real sking tolol nya. 😅😅,karma is real sking tolol
"Bayangin fans drakor udahlah gak suka sama Abidzar, terus filmnya punya plot yg dipaksa ringkas. Makin gak suka itu fans fansnya.",bayangin drakor udahlah suka filmnya plot dipaksa ringkas suka fansnya
saya suka thumbnail anda wkwkwkwkw,suka thumbnail wkwkwkwkw
"Wkwkwk menunggu makian lu bang, bahkan Aldi taher ketawa melihat ini 😂",wkwkwk menunggu makian aldi taher ketawa
Awal kehancuran Abidzar❌<br>Awal kehancuran Falcon ✅<br>Semua karna 1 anak IDEALIS😅,kehancuran abidzarawal kehancuran falcon karna 1 anak idealis
"Saya suka ini wkwkw, terus menggoreng chef",suka wkwkw menggoreng chef
"Jujur ini film jauh bgt klo di bandingin adaptasi Drama Korea. Aktornya mesti cari yang sesuai gak sih sama manga dan Drama Koreanya. Dan gw baru pertama denger ada film dapet rating 1 dari 10 😮. Paham posisi intinya ya Bang. Bang ini episode terbaik menurut selama gw ngikutin channel, gw suka bgt gaya elu ngereview film apalagi yang kayak gini 😂.",jujur bandingin adaptasi drama korea aktornya mesti cari sesuai manga drama koreanya denger dapet rating 1 10 paham posisi intinya episode terbaik ngikutin channel suka gaya elu ngereview kayak gini
"Dari awal smpe abis, ngakak banget sumpah. Thankyu nglantur, editanya best banget &amp; pembawaanya sperti biasa pecah parah 🔥🔥🔥",smpe abis ngakak sumpah thankyu nglantur editanya best pembawaanya sperti pecah parah
Tapi sebenarnya versi aslinya pun emang juga secringe itu. Meskipun ga separah abidzar ini😂,versi aslinya secringe separah
Anak umur segitu harus mikir dulu seharusnya ini bisnis 😂,anak umur segitu mikir bisnis
sense of awareness nya literally zero.,sense of awareness literally zero
Pohon salak berbuah salak!<br>Pohon pisang berbuah pisang!<br>Wes dadi pestine! Ora bakalan sil!,pohon salak berbuah salakpohon pisang berbuah pisangwes dadi pestine ora sil
"Intinya, Abidzar ini emang perlu belajar public speaking dan media training. Walaupun kurang tertarik dengan drakor tapi at least respect terhadap fansnya. Jangan sampe menyinggung apalagi nantangin.<br>Jujur, jadi kasian sama cast dan crewnya yang udah berusaha giving their best tapi karyanya gagal diapresiasi.",intinya belajar public speaking media training tertarik drakor at least respect fansnya sampe menyinggung nantanginjujur kasian cast crewnya berusaha giving their best karyanya gagal diapresiasi
Belajar? Disuruh sekolah aja dia bolos,belajar disuruh sekolah bolos
"​@@Studi_bantingdia juga ga tamat sekolah, ga tertarik juga<br>padahal kalo jadi aktor perlu pendidikan,biar bisa bijak setidaknya menangani masalah",studibantingdia tamat sekolah tertarik jugapadahal pendidikanbiar bijak menangani
"Terkenal dari nol, baru bisa ngerasain usaha, ngerasain dan menghargai kerja, menikmati apapun hasilnya.<br>Emang dia dari nol?<br>Bukannya terkenal kerna buapak&#39;nya?<br>Kok terkenal sih,",terkenal nol ngerasain usaha ngerasain menghargai kerja menikmati apapun hasilnyaemang nolbukannya terkenal kerna buapaknyakok terkenal
Pdhl anak pemuka agama ... Tau agama bgt gitu loh kluarganya.  Tapi kok attitude nya enol ya?? Heran .. memang yg terlalu fanatik itu malah jauh lebih busuk dari yg biasa aja,pdhl anak pemuka agama agama gitu loh kluarganya attitude enol heran fanatik busuk
"Ditinggal uje pas 12 thn, alhasil emaknya yang ngedidik 😂​@@EllietheWitch0220",ditinggal uje pas 12 thn alhasil emaknya ngedidik elliethewitch0220
Tlol aja sih ngejek target pasarnya sendiri,tlol ngejek target pasarnya
"Dimana-mana kalau mau adaptasi karya seni harus menghormati dan mempelajari karya asli. Kejadian ini samahalnya mau lakuin penelitian tanpa referensi penelitian sebelumnya, nah loh. .gak masuk akal kann?<br><br>Kalau mau bikin karakter baru jangan pakai IP yang udah ada. Buat cerita &amp; judul sendiri.<br><br>Ini common sense di bidang studi manapun.",dimanamana adaptasi karya seni menghormati mempelajari karya asli kejadian samahalnya lakuin penelitian referensi penelitian loh masuk akal kannkalau pakai ip cerita judul sendiriini common sense bidang studi manapun
Cuma karena character utamanya pengen beda dgn Drakor alhasil yg nonton sedikit 😊😂😢,character utamanya pengen beda dgn drakor alhasil
Anjay new opening absolute fire 🙌,anjay new opening absolute fire
intro lu asik bangg,intro asik bangg
Bang coba lu review motor bang kayanya bagus,coba review motor kayanya bagus
Ngapain ditonton? 😮,ngapain ditonton
Netizen 62 emang mantul,netizen 62 mantul
"<a href=""https://www.youtube.com/watch?v=vFUT18yhMB8&amp;t=386"">6:26</a> bro tidak belajar dari live action attack on titan, karakter berbeda sifat aja langsung kena hajar, apalagi ini mau bikin pengkarakteran sendiri",626 bro belajar live action attack on titan berbeda sifat langsung kena hajar pengkarakteran
Apalagi yang peranin ya kena mental Ampe Boendier gegara tuh film,peranin kena mental ampe boendier gegara tuh
"Ga gitu bang, masalah aot itu emang LA.. yang dimana harus plek ketiplek sama animenya<br>Beda sama business proposal karna ini remake ga harus plek ketiplek mirip sama versi orinya<br>Tapi yang jadi inti masalah si Abidzar ga ngehargai penulisnya karna dia ga nonton film aslinya",gitu aot la dimana plek ketiplek animenyabeda business proposal karna remake plek ketiplek versi orinyatapi inti ngehargai penulisnya karna aslinya
"@ oke bro thx buat infonya, jujur aku bukan kpopers ataupun fans drakor ya jadi gak tahu gimana industrinya, cuman menurutkuku kalo pengkarakternya melenceng dari karakter aslinya itu bakalan kurang bagus sih. terutama buat fansnya",oke bro thx infonya jujur kpopers drakor gimana industrinya cuman menurutkuku pengkarakternya melenceng aslinya bagus fansnya
"@@irfansafa9912 iya bang, sama gw juga ga terlalu paham tentang dunia drama atau film.. disini sebenarnya tergantung pendapat masing masing..<br>Tapi setau saya remake ga harus plek ketiplek karna arti dari kata remake sendiri yaitu &#39;membuat ulang&#39;, jadi ga harus sama dengan versi originalnya<br>Tapi kalau secara cerita emang harus sejalan dengan alur originalnya",irfansafa9912 iya paham dunia drama tergantung pendapat masingtapi setau remake plek ketiplek karna arti remake ulang versi originalnyatapi cerita sejalan alur originalnya
Aot LA ada helikopter anying<br>Fak lah,aot la helikopter anyingfak
"Mirip game LGBT woke.<br>&quot;DON&#39;T LIKE IT, DON&#39;T BUY IT!&quot;<br>Gak ada yang beli, malah nyalahin orang.",game lgbt wokedont like it dont buy itgak beli nyalahin
"Anak bau kencur di dunia keartisan udah banyak gaya 😂 jangan salahin PH,produser,sutradara yg pake aktor itu itulagi karena yg barunya kaya gini 😅",anak bau kencur dunia keartisan gaya salahin phprodusersutradara pake itulagi barunya kaya gini
teryata orang lain itu hanya 16rb saja beda tipis ama dollar😊,teryata 16rb beda tipis ama dollar
Bocahnya emng bego sih. Sok sok an cuek rebel tp tidak faham konteks dan posisi😂,bocahnya emng bego sok sok an cuek rebel tp faham konteks posisi
"Emang start of blundernya Abidzar, tapi disini yg paling blunder tuh palkon, jelas bet keliatan pengen manfaatin kehebohan itu, tp mereka juga makin lama makin memusuhi target pasarnya, sampe pada akhirnya buat permintaan maaf dimana itu TELAT dan TAMBAH BLUNDER! itu yg bikin gw ngakak sih😂",start of blundernya blunder tuh palkon bet keliatan pengen manfaatin kehebohan tp memusuhi target pasarnya sampe permintaan maaf dimana telat blunder ngakak
"exactly, Falcon keliatan jelek banget nanggepin ini, alias goblok. masa kaga belajar dari mereka bikin kasus di pasutri gaje...",exactly falcon keliatan jelek nanggepin alias goblok kaga belajar pasutri gaje
For Real,for real
​@@ngelantur koh review the condor hero 2025,ngelantur koh review the condor hero 2025
Palkon pala konxxl.,palkon pala konxxl
Palkon gak tuh,palkon tuh
"Dari sekian banyak review soal film yg abang buat,ini yg paling saya suka,muka Abang sama gestur abang ngejelasin soal film ini dan konroversi pemain utamanya ekspresif sekali 😂",sekian review abang buatini sukamuka abang gestur abang ngejelasin konroversi pemain utamanya ekspresif
"<a href=""https://www.youtube.com/watch?v=vFUT18yhMB8&amp;t=740"">12:20</a> anjir gila juga ampe hampir foto kaki",1220 anjir gila ampe foto kaki
Udah film nya gk laku di bioskop jgn berharap bisa masuk ke netflix 🤣🤣🤣,laku bioskop jgn berharap masuk netflix
"Bro itu plotnya sengaja di bikin gaje, sengaja biar nanti ada film khusus buat abidzar",bro plotnya sengaja gaje sengaja biar khusus
"<a href=""https://www.youtube.com/watch?v=vFUT18yhMB8&amp;t=176"">2:56</a>  Jadi inget d tahun 2000an sinetron2 pada adaptasi serial cantik alias manga shoujo 😂<br>Edit : <a href=""https://www.youtube.com/watch?v=vFUT18yhMB8&amp;t=268"">4:28</a> udah kejadian bang... Sampai bundir aktor yg meranin Eren",256 inget d 20an sinetron2 adaptasi serial cantik alias manga shoujo edit 428 kejadian bundir meranin eren
Jogging sore sambil dengerin Timothy,jogging sore dengerin timothy
"udah merasa spesial itu si bidzar, padahal gede juga karena nama bokapnya, akting ga ada yang wah atau gimana malah sok2an ga butuh penonton, kalau udah kena gini gimana itu monyong? masih berani sok2an keras gitu?<br><br>tolol emang, abis ini ga bakal ada PH yang mau ambil nih bocah , terlalu beresiko mulut ga ada rem",spesial bidzar gede nama bokapnya akting gimana sok2an butuh penonton kena gini gimana monyong berani sok2an keras gitutolol abis ph ambil nih bocah beresiko mulut rem
"Ini persis kasusnya kayak Snow White LA x Rachel Ziegler, beda angle sama isu aja, intinya sama sam nyerang penontonnya sebelum rilis 😂",persis kasusnya kayak snow white la x rachel ziegler beda angle isu intinya sam nyerang penontonnya rilis
lebih tinggian ratingnya ex-arm njir😹,tinggian ratingnya exarm njir
"wkwkwkwkw, anime dengan grafis terbaik itu 😅",wkwkwkwkw anime grafis terbaik
Ga adakah yg lebih glowing n terkesan old money dr sekian byk aktor,adakah glowing n terkesan old money dr sekian byk
"Sbnr nya kl dia ga ngomong blunder juga netizen fine fine aja dan bakal penasaran buat nonton, bnyk loh sblm dia ngomong gitu yg pngn nonton . Eh tbtb blunder tuh bocah ydh ga salah orng2 lebih milih ga nonton karna jatuh nya dia ngeremehin penikmat drakor . Kl pun emng dia ga suka nonton drakor ga masalah tp seengak nya bisa kali nonton atau perhatiin peran mana yg mau di peranin di remake ini aja biar dpt kesimpulan peran si kang temo ini kek apa 😅<br><br>Nah di luar kontroversi si orng itu , menurut ku juga sebuah seris drakor di jadiin filim emng agak susah buat masukin 12 ep jadi 2 jam doang , mungkin itu kenapa dlm segi cerita nya bnyk yg agak kureng",sbnr kl ngomong blunder netizen fine fine penasaran bnyk loh sblm ngomong gitu pngn eh tbtb blunder tuh bocah ydh salah orng2 milih karna jatuh ngeremehin penikmat drakor kl emng suka drakor tp seengak kali perhatiin peran peranin remake biar dpt kesimpulan peran kang temo kek kontroversi orng ku seris drakor jadiin filim emng susah masukin 12 ep 2 jam doang dlm segi cerita bnyk kureng
Introny njr🔥🔥🔥🔥,introny njr
5.jangan remehkan fans agama 💀,5jangan remehkan agama
Agama Islam lebih tepatnya. Pdhl agama lain kebanyakan ga ada masalah. Contohnya di film &#39;The Incantation&#39; ada agama sesat &#39;Mother Buddha&#39; ga ada tuh dicancel sm diprotes. Trus film horror &#39;The Nun&#39; 1 dan 2 tentang setan salib kebalik juga ga ada ribut2 sama dihujat. Sementara &#39;Kiblat&#39; masalah poster aj uda dihujat abis2an.,agama islam tepatnya pdhl agama kebanyakan contohnya the incantation agama sesat mother buddha tuh dicancel sm diprotes trus horror the nun 1 2 setan salib kebalik ribut2 dihujat kiblat poster aj uda dihujat abis2an
yak benar,yak
Kurang jangan macem2 sama Swifties bang 🤣,macem2 swifties
selalu ditunggu videonya bangg,ditunggu videonya bangg
"HAHAHA gue juga fans kpop&amp;korean entertainment ko, awalnya gue kira netizen &amp; k-fans lebay, terlalu sensi karna sayangnya emg di beberapa kasus seperti itu. EH TERNYATA pas gue dengerin omongan Abidzar di berbagai presscon&amp;interview, gue juga ikut gedeg jir. <br><br>Lu bayangin kalo cast Marvel, Miracle in Cell no. 7 versi indonesia, Lord Of The Rings, Game of Thrones, live action Death Note atau anime apapun, trus mereka malah hina-hina/ngeremehin fans original komik/buku/anime itu??? Udah dibuktiin BERKALI-KALI dari kasus di luar negeri bukannya belajar ni Abidzar (kasus Rachel Zegler yang mainin Live action Snow White, dll). Makanya gue juga ga setuju yang bilang netizen lebay/kasih treatment cancel culture, cause Abidzar brought the whole disaster to the film &amp; crews themselves.",hahaha kpopkorean entertainment ko netizen kfans lebay sensi karna sayangnya emg eh pas dengerin omongan pressconinterview gedeg jir bayangin cast marvel miracle in cell no 7 versi indonesia lord of the rings game of thrones live action death note anime apapun trus hinahinangeremehin original komikbukuanime dibuktiin berkalikali negeri belajar ni rachel zegler mainin live action snow white dll setuju netizen lebaykasih treatment cancel culture cause brought the whole disaster to the crews themselves
"Bener banget. Pas pd protes look dia ga cocok jd kang Taemoo, gw msh respect ke dia lhooo. Tp pas dia ngomongin soal netizen ga diundang premiere, beuhhhhh auto ilang respect gw. <br><br>Gw rasa dia ga idealis ky yg dibilang Timo. Dia lebih ke keras kepala aja. Maybe dia dasarnya ga suka korea, tp kalo emg ga suka ya mending ga usah terima job ini aja gaksih? Drpd pas promo malah nanganin sesuatu scr ga profesional 😂",bener pas pd protes look cocok jd kang taemoo msh respect lho tp pas ngomongin netizen diundang premiere beuh auto ilang respect idealis ky dibilang timo keras kepala maybe dasarnya suka korea tp emg suka mending terima job gaksih drpd pas promo nanganin scr profesional
"@@zahranafisa8757 bener, sama dgn pikiran gue. gue jg g mslh awalnya, secara gue baca webtoonnya. msh ad hrapan sehrusnya klo dia bs tahan diri",zahranafisa8757 bener dgn pikiran jg g mslh baca webtoonnya msh ad hrapan sehrusnya bs tahan
"Lah iya, mereka berdua Mirip. Sama sama Batu 😂 😅😊",iya berdua batu
@@akuhappy3246 dia punya kesempatan untuk klarif pernyataan dia yg pertama. Tp dia malah milih untuk nantangin calon penontonnya,akuhappy3246 kesempatan klarif pernyataan tp milih nantangin calon penontonnya
"@ makanya, ga bijaksana dia",bijaksana
Ratingnya kalah sama Ex-Arm 😂,ratingnya kalah exarm
Ngelantur telah bersabda👏😮,ngelantur bersabda
"Kasih link pekob, nanti nonton lebih dri 1 episode wkwk",kasih link pekob dri 1 episode wkwk
"Versi drakornya aja sempet kena hujat pas dibandingin sm webtoonya, ini bisa bisa bikin karakter yg beda dri drakornya, belum masalah plot yg udh dijelasin bang timo... Emg susah sih secara satu eps drama aja bisa 1 jam, itu ada 12 eps dibikin durasi 2 jam 😂",versi drakornya sempet kena hujat pas dibandingin sm webtoonya beda dri drakornya plot dijelasin timo emg susah eps drama 1 jam 12 eps dibikin durasi 2 jam
